"lon","lat","gemeinde_f","accident_severity_category_fr"
7.0235,46.4094,"Ormont-Dessous","a"
7.0235,46.4094,"Ormont-Dessous","a"
6.1337,46.2186,"Genève","a"
6.1337,46.2186,"Genève","a"
6.1337,46.2186,"Genève","a"
6.1337,46.2186,"Genève","a"
6.1337,46.2186,"Genève","a"
6.1337,46.2186,"Genève","a"
6.1337,46.2186,"Genève","a"
6.1337,46.2186,"Genève","a"
6.1337,46.2186,"Genève","a"
6.1337,46.2186,"Genève","a"
6.1337,46.2186,"Genève","a"
6.1337,46.2186,"Genève","a"
6.1337,46.2186,"Genève","a"
6.1337,46.2186,"Genève","a"
6.1337,46.2186,"Genève","a"
7.0475,46.3019,"Ollon","a"
7.0475,46.3019,"Ollon","a"
7.0475,46.3019,"Ollon","a"
7.0475,46.3019,"Ollon","a"
7.0475,46.3019,"Ollon","a"
7.0475,46.3019,"Ollon","a"
7.0475,46.3019,"Ollon","a"
7.0475,46.3019,"Ollon","a"
7.0475,46.3019,"Ollon","a"
7.0475,46.3019,"Ollon","a"
7.0475,46.3019,"Ollon","a"
7.0475,46.3019,"Ollon","a"
7.0475,46.3019,"Ollon","a"
7.0475,46.3019,"Ollon","a"
7.0475,46.3019,"Ollon","a"
6.1245,46.1875,"Lancy","a"
6.1245,46.1875,"Lancy","a"
6.1245,46.1875,"Lancy","a"
6.1245,46.1875,"Lancy","a"
6.1245,46.1875,"Lancy","a"
6.1245,46.1875,"Lancy","a"
6.1245,46.1875,"Lancy","a"
6.1245,46.1875,"Lancy","a"
6.1245,46.1875,"Lancy","a"
6.1245,46.1875,"Lancy","a"
6.1245,46.1875,"Lancy","a"
6.1245,46.1875,"Lancy","a"
6.1245,46.1875,"Lancy","a"
6.1245,46.1875,"Lancy","a"
6.1245,46.1875,"Lancy","a"
8.5859,46.6604,"Göschenen","a"
8.5859,46.6604,"Göschenen","a"
8.5859,46.6604,"Göschenen","a"
8.5859,46.6604,"Göschenen","a"
8.5859,46.6604,"Göschenen","a"
8.5859,46.6604,"Göschenen","a"
8.5859,46.6604,"Göschenen","a"
8.5859,46.6604,"Göschenen","a"
8.5859,46.6604,"Göschenen","a"
8.5859,46.6604,"Göschenen","a"
8.5859,46.6604,"Göschenen","a"
8.5859,46.6604,"Göschenen","a"
8.5859,46.6604,"Göschenen","a"
8.5859,46.6604,"Göschenen","a"
8.5859,46.6604,"Göschenen","a"
8.9121,45.9975,"Muzzano","a"
8.9121,45.9975,"Muzzano","a"
8.9121,45.9975,"Muzzano","a"
8.9121,45.9975,"Muzzano","a"
8.9121,45.9975,"Muzzano","a"
8.9121,45.9975,"Muzzano","a"
8.9121,45.9975,"Muzzano","a"
8.9121,45.9975,"Muzzano","a"
8.9121,45.9975,"Muzzano","a"
8.9121,45.9975,"Muzzano","a"
8.9121,45.9975,"Muzzano","a"
8.9121,45.9975,"Muzzano","a"
8.9121,45.9975,"Muzzano","a"
8.9121,45.9975,"Muzzano","a"
8.9121,45.9975,"Muzzano","a"
9.5333,46.3346,"Bregaglia","a"
9.5333,46.3346,"Bregaglia","a"
9.5333,46.3346,"Bregaglia","a"
9.5333,46.3346,"Bregaglia","a"
9.5333,46.3346,"Bregaglia","a"
9.5333,46.3346,"Bregaglia","a"
9.5333,46.3346,"Bregaglia","a"
9.5333,46.3346,"Bregaglia","a"
9.5333,46.3346,"Bregaglia","a"
9.5333,46.3346,"Bregaglia","a"
9.5333,46.3346,"Bregaglia","a"
9.5333,46.3346,"Bregaglia","a"
9.5333,46.3346,"Bregaglia","a"
9.5333,46.3346,"Bregaglia","a"
9.5333,46.3346,"Bregaglia","a"
8.3693,47.2282,"Auw","a"
8.3693,47.2282,"Auw","a"
8.3693,47.2282,"Auw","a"
8.3693,47.2282,"Auw","a"
8.3693,47.2282,"Auw","a"
